,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Fiber, total dietary","Sugars, total","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,
,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,
Kelp seaweed,43,1.68,0.56,9.57,1.3,0.6,168,2.85,121,42,89,233,1.23,3,0.05,0.15,0.47,0.002,Vegetable
Spinach,23,2.86,0.39,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,28.1,0.078,0.189,0.724,0.195,Vegetable
Summer squash,19,1.01,0.27,3.88,1,2.88,21,0.44,20,32,222,2,0.29,19.3,0.051,0.041,0.448,0.104,Vegetable
Zucchini,17,1.21,0.32,3.11,1,2.5,16,0.37,18,38,261,8,0.32,17.9,0.045,0.094,0.451,0.163,Vegetable
Sweet potato,86,1.57,0.05,20.12,3,4.18,30,0.61,25,47,337,55,0.3,2.4,0.078,0.061,0.557,0.209,Vegetable
Taro,112,1.5,0.2,26.46,4.1,0.4,43,0.55,33,84,591,11,0.23,4.5,0.095,0.025,0.6,0.283,Vegetable
Tomatoes,18,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5,0.17,13.7,0.037,0.019,0.594,0.08,Vegetable
Turnips,28,0.9,0.1,6.43,1.8,3.8,30,0.3,11,27,191,67,0.27,21,0.04,0.03,0.4,0.09,Vegetable
Potato pancakes,268,6.08,14.76,27.81,3.3,1.79,32,1.67,36,128,622,764,0.7,27.6,0.158,0.173,1.672,0.448,Vegetable
Jalapeno peppers,29,0.91,0.37,6.5,2.8,4.12,12,0.25,15,26,248,3,0.14,118.6,0.04,0.07,1.28,0.419,Vegetable
Banana peppers,27,1.66,0.45,5.35,3.4,1.95,14,0.46,17,32,256,13,0.25,82.7,0.081,0.054,1.242,0.357,Vegetable
Baked beans,155,5.54,5.15,21.63,5.5,0,61,1.99,43,109,358,422,0.73,1.1,0.136,0.049,0.408,0.09,Vegetable
